iter	Passed	Remaining
0	91	91201
1	155	77606
2	212	70604
3	267	66624
4	328	65346
5	387	64121
6	444	63020
7	502	62269
8	563	62026
9	617	61152
10	671	60405
11	727	59904
12	784	59528
13	851	59998
14	920	60418
15	1042	64125
16	1113	64377
17	1171	63922
18	1228	63453
19	1287	63067
20	1341	62531
21	1395	62021
22	1451	61638
23	1513	61530
24	1570	61243
25	1626	60933
26	1682	60647
27	1737	60322
28	1794	60091
29	1853	59934
30	1911	59759
31	1974	59733
32	2030	59497
33	2088	59347
34	2144	59127
35	2201	58940
36	2258	58789
37	2314	58595
38	2369	58383
39	2424	58176
40	2485	58139
41	2567	58560
42	2627	58486
43	2699	58660
44	2765	58697
45	2833	58773
46	2899	58795
47	2962	58751
48	3022	58669
49	3086	58646
50	3149	58613
51	3211	58549
52	3329	59494
53	3404	59636
54	3466	59569
55	3533	59559
56	3593	59452
57	3654	59355
58	3707	59138
59	3763	58964
60	3816	58756
61	3872	58591
62	3926	58393
63	3981	58233
64	4040	58127
65	4099	58007
66	4155	57869
67	4209	57692
68	4264	57536
69	4318	57369
70	4374	57239
71	4436	57183
72	4503	57192
73	4560	57069
74	4615	56921
75	4668	56760
76	4730	56704
77	4793	56656
78	4850	56549
79	4919	56569
80	4978	56487
81	5032	56339
82	5088	56218
83	5143	56092
84	5196	55939
85	5253	55832
86	5312	55755
87	5374	55702
88	5430	55588
89	5490	55513
90	5543	55377
91	5596	55236
92	5651	55112
93	5711	55044
94	5776	55032
95	5842	55016
96	5910	55023
97	5975	54996
98	6037	54948
99	6102	54922
100	6166	54884
101	6227	54825
102	6295	54825
103	6420	55317
104	6496	55377
105	6552	55261
106	6605	55124
107	6664	55040
108	6718	54918
109	6773	54800
110	6827	54684
111	6893	54656
112	6961	54647
113	7029	54632
114	7092	54579
115	7154	54521
116	7217	54469
117	7294	54519
118	7357	54470
119	7426	54463
120	7507	54535
121	7580	54556
122	7651	54558
123	7725	54573
124	7798	54591
125	7874	54621
126	7955	54686
127	8024	54666
128	8105	54725
129	8179	54741
130	8255	54761
131	8332	54792
132	8411	54833
133	8493	54889
134	8557	54829
135	8626	54805
136	8704	54829
137	8773	54804
138	8846	54796
139	8929	54851
140	9015	54921
141	9090	54929
142	9171	54963
143	9252	55000
144	9327	55002
145	9404	55011
146	9477	54995
147	9546	54956
148	9616	54925
149	9685	54885
150	9750	54820
151	9809	54729
152	9872	54651
153	9933	54567
154	9992	54475
155	10049	54372
156	10101	54240
157	10156	54127
158	10209	54000
159	10266	53896
160	10320	53780
161	10374	53665
162	10428	53551
163	10485	53450
164	10544	53360
165	10604	53276
166	10664	53194
167	10721	53097
168	10776	52989
169	10831	52882
170	10884	52769
171	10940	52665
172	11001	52589
173	11065	52528
174	11131	52475
175	11190	52389
176	11247	52296
177	11306	52211
178	11361	52111
179	11415	52001
180	11475	51923
181	11527	51809
182	11583	51713
183	11646	51647
184	11703	51558
185	11759	51462
186	11817	51377
187	11871	51274
188	11928	51184
189	11983	51087
190	12041	51004
191	12096	50907
192	12152	50815
193	12211	50735
194	12267	50644
195	12323	50549
196	12381	50470
197	12449	50424
198	12506	50338
199	12564	50256
200	12618	50158
201	12671	50058
202	12724	49956
203	12779	49866
204	12833	49770
205	12889	49680
206	12951	49617
207	13013	49549
208	13071	49471
209	13128	49390
210	13185	49306
211	13240	49215
212	13297	49130
213	13351	49038
214	13407	48954
215	13462	48865
216	13514	48764
217	13569	48675
218	13625	48592
219	13680	48502
220	13732	48405
221	13791	48333
222	13846	48244
223	13903	48165
224	13963	48096
225	14024	48030
226	14088	47975
227	14142	47886
228	14197	47798
229	14253	47716
230	14308	47632
231	14361	47541
232	14426	47488
233	14485	47419
234	14545	47349
235	14602	47273
236	14657	47189
237	14711	47101
238	14768	47024
239	14827	46953
240	14881	46866
241	14936	46785
242	14991	46701
243	15045	46617
244	15101	46538
245	15155	46452
246	15211	46372
247	15267	46293
248	15322	46213
249	15378	46135
250	15434	46057
251	15489	45976
252	15542	45891
253	15598	45811
254	15652	45731
255	15708	45654
256	15768	45587
257	15835	45540
258	15889	45460
259	15947	45388
260	16001	45307
261	16059	45237
262	16120	45175
263	16181	45111
264	16245	45058
265	16300	44979
266	16355	44900
267	16417	44843
268	16470	44756
269	16528	44687
270	16589	44625
271	16648	44559
272	16707	44493
273	16764	44419
274	16819	44341
275	16874	44264
276	16933	44199
277	16995	44139
278	17056	44078
279	17123	44031
280	17187	43976
281	17247	43914
282	17310	43856
283	17371	43794
284	17436	43745
285	17503	43698
286	17564	43635
287	17622	43566
288	17679	43495
289	17740	43434
290	17793	43352
291	17849	43278
292	17906	43208
293	17966	43144
294	18023	43073
295	18081	43004
296	18138	42933
297	18193	42857
298	18251	42790
299	18307	42718
300	18365	42649
301	18425	42585
302	18482	42515
303	18537	42440
304	18592	42365
305	18650	42298
306	18706	42227
307	18767	42166
308	18823	42093
309	18875	42013
310	18931	41941
311	18990	41876
312	19044	41800
313	19099	41728
314	19154	41652
315	19212	41586
316	19273	41526
317	19333	41464
318	19395	41406
319	19449	41329
320	19503	41255
321	19558	41181
322	19611	41104
323	19666	41031
324	19725	40967
325	19784	40903
326	19844	40841
327	19900	40770
328	19957	40704
329	20014	40635
330	20078	40581
331	20136	40515
332	20198	40457
333	20300	40478
334	20385	40467
335	20443	40400
336	20497	40326
337	20555	40258
338	20607	40181
339	20661	40108
340	20722	40047
341	20780	39981
342	20839	39917
343	20896	39848
344	20952	39780
345	21009	39711
346	21063	39638
347	21122	39573
348	21178	39505
349	21242	39451
350	21306	39395
351	21359	39320
352	21418	39256
353	21471	39183
354	21533	39123
355	21592	39059
356	21650	38994
357	21705	38924
358	21765	38862
359	21822	38796
360	21885	38739
361	21945	38677
362	22005	38615
363	22061	38547
364	22119	38481
365	22178	38418
366	22240	38361
367	22302	38302
368	22363	38241
369	22427	38187
370	22488	38126
371	22549	38068
372	22613	38012
373	22672	37949
374	22735	37892
375	22790	37823
376	22846	37754
377	22899	37681
378	22954	37611
379	23009	37541
380	23068	37478
381	23124	37410
382	23182	37346
383	23240	37281
384	23297	37216
385	23356	37151
386	23425	37104
387	23484	37043
388	23545	36982
389	23604	36919
390	23660	36852
391	23720	36790
392	23777	36725
393	23835	36661
394	23891	36593
395	23945	36523
396	24001	36455
397	24055	36385
398	24108	36313
399	24163	36244
400	24218	36177
401	24276	36112
402	24332	36045
403	24393	35986
404	24495	35987
405	24572	35951
406	24634	35892
407	24690	35825
408	24750	35763
409	24805	35695
410	24859	35625
411	24915	35559
412	24969	35489
413	25024	35420
414	25080	35354
415	25135	35285
416	25190	35217
417	25247	35152
418	25301	35083
419	25360	35021
420	25417	34956
421	25484	34905
422	25548	34849
423	25606	34786
424	25671	34732
425	25728	34666
426	25782	34598
427	25843	34538
428	25896	34468
429	25954	34405
430	26012	34341
431	26066	34272
432	26117	34200
433	26174	34135
434	26229	34068
435	26282	33999
436	26336	33930
437	26394	33867
438	26447	33798
439	26500	33728
440	26555	33660
441	26609	33592
442	26665	33527
443	26723	33464
444	26779	33398
445	26835	33333
446	26892	33269
447	26952	33209
448	27007	33142
449	27060	33074
450	27116	33009
451	27176	32948
452	27230	32880
453	27283	32812
454	27337	32745
455	27393	32679
456	27444	32609
457	27497	32541
458	27553	32475
459	27613	32415
460	27669	32351
461	27723	32284
462	27783	32223
463	27837	32157
464	27894	32093
465	27953	32032
466	28008	31967
467	28062	31900
468	28117	31834
469	28174	31771
470	28232	31708
471	28286	31642
472	28345	31582
473	28398	31514
474	28453	31448
475	28505	31380
476	28558	31312
477	28611	31245
478	28671	31185
479	28738	31132
480	28799	31075
481	28852	31007
482	28905	30940
483	28965	30880
484	29023	30818
485	29082	30757
486	29139	30694
487	29196	30632
488	29250	30566
489	29306	30502
490	29361	30438
491	29413	30370
492	29464	30301
493	29522	30239
494	29579	30176
495	29633	30111
496	29694	30052
497	29757	29996
498	29812	29931
499	29866	29866
500	29924	29805
501	29981	29742
502	30034	29675
503	30089	29611
504	30146	29549
505	30199	29483
506	30253	29418
507	30305	29351
508	30361	29287
509	30413	29221
510	30466	29155
511	30525	29094
512	30581	29031
513	30636	28967
514	30692	28904
515	30750	28843
516	30857	28828
517	30916	28767
518	30972	28704
519	31028	28641
520	31079	28574
521	31139	28514
522	31199	28455
523	31252	28389
524	31306	28325
525	31365	28264
526	31419	28200
527	31476	28137
528	31531	28074
529	31586	28010
530	31639	27945
531	31696	27883
532	31752	27820
533	31805	27755
534	31861	27692
535	31900	27615
536	31924	27525
537	31979	27462
538	32032	27397
539	32084	27331
540	32146	27273
541	32210	27218
542	32268	27158
543	32331	27101
544	32390	27041
545	32451	26983
546	32503	26918
547	32565	26860
548	32619	26796
549	32676	26735
550	32731	26672
551	32785	26608
552	32842	26547
553	32898	26485
554	32952	26421
555	33007	26358
556	33066	26299
557	33124	26238
558	33180	26176
559	33236	26114
560	33297	26056
561	33362	26001
562	33425	25944
563	33482	25883
564	33545	25826
